r,z,pressure,ne
177.2727273,108,2.9997,8.48E+14
170.4545455,108,2.9997,1.00E+15
184.0909091,108,2.9997,6.98E+14
163.6363636,108,2.9997,1.17E+15
190.9090909,108,2.9997,5.54E+14
197.7272727,108,2.9997,4.26E+14
204.5454545,108,2.9997,3.08E+14
211.3636364,108,2.9997,2.25E+14
218.1818182,108,2.9997,5.58E+13
156.8181818,108,2.9997,1.34E+15
225,108,2.9997,6.32E+14
150,108,2.9997,1.50E+15
143.1818182,108,2.9997,1.66E+15
136.3636364,108,2.9997,1.82E+15
129.5454545,108,2.9997,1.96E+15
122.7272727,108,2.9997,2.09E+15
115.9090909,108,2.9997,2.21E+15
109.0909091,108,2.9997,2.31E+15
102.2727273,108,2.9997,2.40E+15
95.45454545,108,2.9997,2.47E+15
88.63636364,108,2.9997,2.53E+15
81.81818182,108,2.9997,2.57E+15
75,108,2.9997,2.59E+15
68.18181818,108,2.9997,2.60E+15
61.36363636,108,2.9997,2.60E+15
47.72727273,108,2.9997,2.59E+15
40.90909091,108,2.9997,2.57E+15
34.09090909,108,2.9997,2.57E+15
27.27272727,108,2.9997,2.56E+15
20.45454545,108,2.9997,2.53E+15
13.63636364,108,2.9997,2.55E+15
6.818181818,108,2.9997,2.51E+15
0,108,2.9997,2.45E+15
54.54545455,108,2.9997,2.60E+15
224.7660732,107.7660732,2.9997,5.64E+14
217.9916654,107.7566927,2.9997,9.60E+13
6.818181818,107.7545576,2.9997,4.30E+15
0,107.7545576,2.9997,4.20E+15
13.63636364,107.7506301,2.9997,4.39E+15
211.2088478,107.7452758,2.9997,3.47E+14
20.45454545,107.742775,2.9997,4.41E+15
204.4204366,107.7333098,2.9997,5.06E+14
27.27272727,107.7333026,2.9997,4.52E+15
34.09090909,107.7268331,2.9997,4.58E+15
40.90909091,107.7241513,2.9997,4.60E+15
197.6286965,107.7240544,2.9997,7.15E+14
47.72727273,107.7234356,2.9997,4.62E+15
54.54545455,107.7231631,2.9997,4.63E+15
184.0366554,107.7231308,2.9997,1.19E+15
61.36363636,107.7229223,2.9997,4.62E+15
177.2340608,107.7228508,2.9997,1.45E+15
68.18181818,107.7228106,2.9997,4.61E+15
75,107.7227849,2.9997,4.57E+15
81.81818182,107.7227826,2.9997,4.52E+15
88.63636351,107.7227774,2.9997,4.44E+15
95.45454393,107.722769,2.9997,4.34E+15
102.272718,107.722761,2.9997,4.20E+15
109.0908696,107.722754,2.9997,4.04E+15
115.9089594,107.7227486,2.9997,3.85E+15
122.7269081,107.7227446,2.9997,3.64E+15
129.5445781,107.7227401,2.9997,3.41E+15
136.361759,107.7227321,2.9997,3.15E+15
143.1781613,107.7227152,2.9997,2.88E+15
149.9934213,107.7226836,2.9997,2.59E+15
156.8071144,107.7226363,2.9997,2.30E+15
163.6187751,107.7225854,2.9997,2.01E+15
170.4279148,107.7225708,2.9997,1.72E+15
190.8346891,107.7219428,2.9997,9.42E+14
224.4385757,107.4385757,2.9997,5.19E+14
217.7254515,107.4160625,2.9997,1.80E+14
0,107.4109382,2.9997,7.22E+15
6.818181818,107.4109382,2.9997,7.39E+15
13.63636364,107.4015122,2.9997,7.57E+15
210.9921439,107.3886619,2.9997,5.68E+14
20.45454545,107.38266,2.9997,7.66E+15
204.2454114,107.3599434,2.9997,8.67E+14
27.27272727,107.3599262,2.9997,7.94E+15
34.09090909,107.3443994,2.9997,8.08E+15
40.90909091,107.3379632,2.9997,8.13E+15
197.4906898,107.3377306,2.9997,1.24E+15
47.72727273,107.3362455,2.9997,8.16E+15
54.54545455,107.3355913,2.9997,8.17E+15
183.9607003,107.335514,2.9997,2.07E+15
61.36363636,107.3350136,2.9997,8.14E+15
177.1799277,107.3348419,2.9997,2.53E+15
68.18181818,107.3347454,2.9997,8.10E+15
75,107.3346837,2.9997,8.02E+15
81.81818182,107.3346783,2.9997,7.92E+15
88.63636332,107.3346658,2.9997,7.77E+15
95.4545418,107.3346457,2.9997,7.58E+15
102.272705,107.3346264,2.9997,7.34E+15
109.0908142,107.3346097,2.9997,7.05E+15
115.9087752,107.3345968,2.9997,6.72E+15
122.7263975,107.334587,2.9997,6.35E+15
129.543351,107.3345763,2.9997,5.93E+15
136.3591306,107.3345571,2.9997,5.48E+15
143.1730417,107.3345164,2.9997,4.99E+15
149.984211,107.3344406,2.9997,4.50E+15
156.7916201,107.334327,2.9997,4.00E+15
163.5941511,107.3342048,2.9997,3.49E+15
170.390632,107.3341699,2.9997,2.99E+15
190.7305266,107.3326627,2.9997,1.64E+15
223.9800791,106.9800791,2.9997,5.03E+14
217.3527521,106.9391803,2.9997,3.50E+14
0,106.9298711,2.9997,1.14E+16
6.818181818,106.9298711,2.9997,1.17E+16
13.63636364,106.9127471,2.9997,1.20E+16
210.6887584,106.8894025,2.9997,9.23E+14
20.45454545,106.8784991,2.9997,1.22E+16
204.0003762,106.8372306,2.9997,1.43E+15
27.27272727,106.8371993,2.9997,1.27E+16
34.09090909,106.8089922,2.9997,1.29E+16
40.90909091,106.7972998,2.9997,1.30E+16
197.2974804,106.7968773,2.9997,2.02E+15
47.72727273,106.7941792,2.9997,1.31E+16
54.54545455,106.7929909,2.9997,1.31E+16
183.8543632,106.7928504,2.9997,3.35E+15
61.36363636,106.7919414,2.9997,1.30E+16
177.1041414,106.7916295,2.9997,4.08E+15
68.18181818,106.7914542,2.9997,1.29E+16
75,106.7913421,2.9997,1.28E+16
81.81818182,106.7913323,2.9997,1.26E+16
88.63636307,106.7913095,2.9997,1.24E+16
95.45453882,106.791273,2.9997,1.21E+16
102.2726868,106.791238,2.9997,1.17E+16
109.0907367,106.7912077,2.9997,1.12E+16
115.9085174,106.7911841,2.9997,1.07E+16
122.7256828,106.7911663,2.9997,1.01E+16
129.5416331,106.791147,2.9997,9.46E+15
136.3554509,106.7911121,2.9997,8.73E+15
143.1658743,106.7910381,2.9997,7.97E+15
149.9713167,106.7909005,2.9997,7.19E+15
156.7699281,106.7906941,2.9997,6.40E+15
163.5596775,106.7904721,2.9997,5.60E+15
170.338436,106.7904087,2.9997,4.81E+15
190.5846991,106.7876706,2.9997,2.67E+15
223.338184,106.338184,2.9997,5.41E+14
216.8309729,106.2715451,2.9997,6.66E+14
0,106.2563771,2.9997,1.73E+16
6.818181818,106.2563771,2.9997,1.78E+16
13.63636364,106.228476,2.9997,1.83E+16
210.2640187,106.1904394,2.9997,1.48E+15
20.45454545,106.1726737,2.9997,1.86E+16
203.6573269,106.1054326,2.9997,2.30E+15
27.27272727,106.1053815,2.9997,1.94E+16
34.09090909,106.0594221,2.9997,1.98E+16
40.90909091,106.0403711,2.9997,1.99E+16
197.0269872,106.0396826,2.9997,3.20E+15
47.72727273,106.0352865,2.9997,2.00E+16
54.54545455,106.0333503,2.9997,2.00E+16
183.7054912,106.0331214,2.9997,5.22E+15
61.36363636,106.0316402,2.9997,1.99E+16
176.9980406,106.0311322,2.9997,6.32E+15
68.18181818,106.0308465,2.9997,1.98E+16
75,106.0306637,2.9997,1.96E+16
81.81818182,106.0306478,2.9997,1.93E+16
88.63636271,106.0306107,2.9997,1.89E+16
95.45453465,106.0305513,2.9997,1.84E+16
102.2726612,106.0304942,2.9997,1.79E+16
109.0906282,106.0304448,2.9997,1.72E+16
115.9081564,106.0304064,2.9997,1.64E+16
122.7246822,106.0303775,2.9997,1.55E+16
129.5392281,106.0303459,2.9997,1.45E+16
136.3502993,106.030289,2.9997,1.34E+16
143.1558398,106.0301685,2.9997,1.22E+16
149.9532647,106.0299442,2.9997,1.10E+16
156.7395592,106.029608,2.9997,9.82E+15
163.5114145,106.0292463,2.9997,8.61E+15
170.2653616,106.0291429,2.9997,7.42E+15
190.3805406,106.0246816,2.9997,4.19E+15
222.4395307,105.4395307,2.9997,6.72E+14
216.100482,105.3368559,2.9997,1.20E+15
0,105.3134856,2.9997,2.56E+16
6.818181818,105.3134856,2.9997,2.63E+16
13.63636364,105.2704965,2.9997,2.71E+16
