Dry1zoneOP_Avg,Dry2zoneOP_Avg,DefectiveStage
69.49772615,20.31046285,Stability
68.7767004,16.54767154,Danger
73.50291334,21.21834724,Stability
68.06251347,4.36649775,Stability
68.8202993,19.90211342,Stability
71.93332154,21.90430543,Stability
69.24048442,19.07011658,Danger
68.8806063,18.76853344,Stability
69.13582094,19.53509147,Stability
69.07264376,22.50339342,Stability
70.55346481,22.18283595,Stability
64.60587382,16.08828726,Danger
68.45191202,20.21532247,Danger
70.50458872,24.63921879,Stability
69.53657956,18.29824222,Stability
71.05406964,18.8407029,Danger
70.8714922,18.66254967,Danger
69.23284955,18.06783417,Stability
70.5423976,19.89916712,Stability
70.52554765,21.24839838,Stability
70.90914446,23.45217441,Danger
70.73899785,21.93960027,Stability
69.99180898,16.86862772,Stability
69.79791862,22.47888471,Stability
69.130712,19.83124756,Stability
70.25394703,19.10104656,Stability
71.92551781,19.5499082,Stability
65.73965493,21.54506764,Stability
68.5961345,24.03607688,Stability
72.58865312,20.66301377,Danger
69.76355104,22.58249828,Danger
69.34838815,23.23180555,Stability
69.58451631,18.50643717,Stability
73.32886179,22.59139176,Stability
69.97934543,21.87160613,Stability
70.17666546,23.97655903,Stability
69.24677881,19.36089875,Stability
72.23564277,18.60256291,Stability
68.63146706,18.80291714,Stability
71.46681695,19.30504412,Stability
73.20318196,23.65939743,Stability
69.39563139,23.21401863,Danger
68.92838646,20.73124541,Danger
71.63218598,23.7824086,Stability
73.31347734,22.52232219,Stability
69.45965604,23.02185545,Stability
70.27513157,18.65890408,Stability
67.85087016,20.00468516,Danger
69.71880782,17.83662544,Stability
68.44629129,19.50461965,Danger
68.92047983,19.30451058,Danger
70.7002827,21.90930902,Stability
69.79902943,17.91392878,Stability
72.63021084,19.26661469,Stability
68.78687129,17.4459362,Danger
69.03282327,5.232417731,Stability
69.68703394,17.94225166,Stability
73.61238095,21.97332225,Stability
67.72176443,23.14090675,Stability
66.90485728,20.7607957,Stability
68.96335692,21.98584807,Stability
70.14941444,20.87523459,Danger
71.16829773,26.20110397,Stability
68.75370827,23.93827761,Stability
70.45279998,25.87734049,Stability
69.78081488,21.84878422,Danger
69.83356993,22.03491167,Danger
70.95666672,23.20968907,Danger
70.15346359,22.70690381,Stability
68.66159687,19.46760115,Danger
70.25984278,23.52314215,Stability
70.38904995,23.1926412,Stability
63.11382192,12.71030081,Stability
63.64341328,21.91331777,Stability
71.34371396,23.35533265,Stability
68.81299474,19.84546444,Stability
69.95822579,22.870504,Danger
68.16417153,22.13613617,Stability
69.7630473,22.73678,Stability
67.99356989,20.26369134,Stability
69.8979375,20.76410161,Stability
69.39377449,23.53461311,Stability
71.23579615,25.11371793,Stability
69.62077095,22.03303464,Stability
69.89503512,22.16115705,Stability
69.36509798,23.65597145,Danger
72.38254933,24.46715523,Danger
72.77464766,21.86515091,Stability
68.54434116,21.08937915,Stability
67.18758544,19.45681971,Stability
74.46501589,31.34460911,Stability
71.38960229,24.0251293,Stability
67.77697645,21.57418966,Stability
71.03889682,19.33975543,Stability
68.20929864,17.74936822,Danger
70.34369022,20.73425325,Stability
68.05611942,20.10496327,Danger
69.43808104,21.3523674,Stability
70.0038696,19.49939444,Stability
69.48612669,4.376535768,Stability
70.07879718,22.06966098,Stability
72.6003093,21.03286151,Stability
68.62952475,22.16809328,Stability
70.54904328,22.32317464,Danger
71.30228966,23.53178427,Stability
71.59330482,19.34338203,Stability
62.91420431,18.18132307,Stability
73.66453118,21.96162666,Danger
